name,served_reimbursable
RF Kettle Chips Jalapeno & Cheddar Chips (Each),15014
Doritos Flamas (Each),14945
RF Kettle Chips Sea Salt & Vinegar Chips (Each),14797
"Sauce, Spicy Mayo (tbsp)",14004
Sour Cream (2 Tablespoons),13645
Fish Tacos (2 Tacos),13478
Chickpeas - salad bar entree (1/2 cup),13087
Steamed Baby Carrots (1/2 cup),12736
SS Baked Cheetos Flaming Hot (Each),12642
Orange (6 Slices per 1/2 cup),12546
Potato Wedges (4 pieces),12229
"Peppers, green, pre-sliced (1/2 cup sliced)",11208
"WG 10"" Flour Tortilla (Tortilla)",11084
Orange (Each - serving),10869
"Sauce, BBQ, HFCS-Free, Bulk, Low-Sodium (2 TBSP)",10819
Vegetable Dumpling (6 dumplings),10494
"Quesadilla, Turkey Barbacoa and Cheese (Quesadilla)",10120
Doritos RF Spicy Sweet Chili (Each),9985
Manager's Vegetable Choice (1/2 cup),9748
Mandarin Orange Pepper Fruit Salsa (1 TBSP),9519
Black Beans - salad bar entree (1/2 cup),9444
Kettle Cooked Smoky BBQ Chips (Each),9052
Kellogg’s W/G Rice Krispies Treats (Each),8623
Strawberry Chex Mix (Package),8546
Sub Roll (Sub Roll),8188
Doritos RF Nacho Cheese (Each),7922
Turkey Barbacoa Arepa (1 Arepa + #10 scoop of turkey barbacoa),7907
Original Flavored Dried Cranberries (Package),7668
"Patty, Chicken, Breaded, WG (2 strips)",7653
BBQ Chicken Drumstick (Drumstick),7565
SS Baked Cheetos Flaming Limon (Each),7342
"Onions, Red, Whole (2 Tablespoons (sliced))",7306
Roasted Plantains (3 Slices),7120
Broccoli Florets (6 Pieces per 1/2 cup),6992
Corn (2 Tablespoons (thawed)),6934
"Patty, Chicken, Spicy, Breaded (2 strips)",6916
WG Chocolate Chip Rice Krispy Treats (Each),6833
SS Cheetos Fantastix Flaming Hot (Each),6830
Lay's RF Kettle Original Chips (Each),6550
Turkey Pepperoni Pizza (1.37 oz),6542
Chickpeas (1/2 cup),6534
Cool Ranch Reduced Fat Doritos (Each),6189
Grape Tomatoes (6 Tomatoes per 1/2 cup),6078
Nachos with Taco Meat and Cheese Sauce (Serving Size),5820
1% Unflavored Shelf-Stable Milk (Each),5619
Cherry Flavored Dried Cranberries (2 Eaches),5560
Chana Masala (1/2 cup),5560
Hot Turkey & Cheese (sandwich),5288
Strawberry Parfait Power Pack (Power Pack),5242
Assorted  4 oz Yogurt (Container),5121
WG Baked Funyuns (Each),5119
Cucumbers (1/2 cup sliced),5112
Orange Flavored Dried Cranberries (2 Eaches),4981
Cucumber Slices (2 Tablespoon),4813
Vegan Burger (Sandwich),4773
"Apple, Slices, IW - ER Supper Only (Each)",4619
String Cheese (Each),4587
"Peppers, Green, Whole (2 Tablespoon)",4544
Natural Breakfast Syrup (Each),4288
Fresh Whole Pear (Each),4184
"Sandwich, Turkey & Cheese (sandwich)",4054
Watermelon Flavored Dried Cranberries (2 Eaches),4028
"Peppers, Red, Whole (2 Tablespoons)",4026
Fish  Sandwich (Sandwich),3994
"Carrots, Shredded (Cup)",3794
Sweet Thai Chili Sauce (ounce),3499
Chicken and Cheese Quesadilla (Quesadilla),3445
Cherry Tomatoes (6 Tomatoes per 1/2 cup),3290
"Turkey,  Breast, Pre-Sliced, Oven Roasted (3 Slices)",3161
BBQ Chicken Sandwich (Sandwich),3075
"Dough, Cookie, Double Chocolate, WG (1/2 Cookie)",3051
Strawberry Flavored Dried Cranberries (2 Eaches),2983
"Tomato, Large, whole, Plum (1/4 cup sliced)",2979
Sweet Thai Chili Chicken Wings (3 Wings),2944
Hamburger (Sandwich),2871
"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",2779
"Chicken, Bites (4 Bites)",2769
Apple Cinnamon Bread (1oz Grain (1/64 Baked Pan)),2518
"Peppers, red, pre-sliced (1/4 cup sliced)",2488
Apple Cinnamon Bread (Grain for entree) (1 square),2389
Chicken Quesadilla (quesadilla),2371
Apple Cinnamon Spread (Each),2332
Arepa w/Taco Beef (1 Aprea + #8 scoop of beef),2311
"Frozen, Blueberries (1/2 cup)",2240
Nachos with Black Beans and Cheese Sauce (Serving),2223
Chickpeas (2 Tablespoons),2199
"Patty, Chicken, Spicy, Breaded (Patty)",2177
Applesauce (1/4 cup),2176
Potstickers (6 Potstickers),2146
Red Seedless Grapes (2 Tablespoons),2128
Chilled Peaches (1/2 cup),2072
Chicken Tikka Masala (1/2 cup),1893
"Carrots, IW,   Super Snack (2 each)",1866
Breaded  Chicken Patty on a Bun (Sandwich),1857
"Peppers, green, pre-sliced (1/4 cup sliced)",1841
"Green Beans, Frozen (1/2 cup)",1841
Fat Free Unflavored Shelf-Stable Milk (Each),1779
"Lactose Free, White Milk (Each)",1735
Raspberry Lemonade Flavored Dried Cranberries (2 Eaches),1734
Celery Sticks (1/4 cup),1660
Corn (1/2 cup (thawed)),1659
Carrot and Celery Sticks (1/2 cup),1654
Cheddar Chex Mix (Package),1650
Chicken Tenders Sub (Sandwich),1517
"Apple Slices (6 Slices, 1/2 cup)",1516
Broccoli Alfredo Pasta (1 cup),1509
Orange Slices (Each),1478
Flour Tortilla (Tortilla),1476
Tomato Soup (8 oz Ladle),1419
"Onions, Red, Whole (1/4 cup (sliced))",1405
IW Heartzels Pretzels (Package),1380
"Chicken, Wings, Pre-Cooked (3 Wings)",1378
Assorted Craisins (Packet),1324
"Salsa, Mild Canned (2 Tablespoons)",1322
Whole Strawberries (1/4 cup thawed),1272
Black Beans (2 Tablespoons),1213
Pineapple Pepper Fruit Salsa (1 TBSP),1196
Cucumber Slices (1/2 cup),1189
Potato Encrusted Breaded Pollock (Fillet),1183
Vanilla Sugar Cookie (1/2 Cookie),1139
Maple Belgian Waffle (Waffle),1134
Blueberry Bread (1oz Grain (1/64 Baked Pan)),1133
Roasted Sunflower Seeds (Package),1126
"Penne Pasta with Marinara and Beef Meatballs (1/2 cup cooked pasta, 1/2c sauce, 5 meatballs)",1122
"Lettuce, Green Salad Mix (1 cup)",1088
"Peppers, Red, Whole (1/4 cup)",1062
"Frozen Berry, Triple Berry Blend (1/4 cup (thawed))",1044
Tomato & Basil Lasagna (Each),1019
Black Beans (1/2 cup),1018
Yellow Peach (Each),1017
"Taco, Turkey Barbacoa, Loco Bread (2 Tacos)",1003
Pumpkin Bread (1 square),980
"Chicken, Bites, Breaded (4 Bites)",970
"Peanut Butter and Jelly Sandwich, IW (Each)",947
Creamy Cabbage Slaw (1/4 cup),940
Chicken Philly Sandwich (each),874
"Applesauce, IW, Cinnamon. Unsweetened, Shelf-Stable (SUB) (Each)",856
"Calzone, Cheese (Each)",794
Chicken Alfredo Pasta (1 cup),787
Nachos with Cheese Sauce (serving size),732
"Bread, English Muffin, WG (Each)",726
"Beef, Taco Meat, Pre-Cooked (1/2 cup (#8 scoop))",715
"Pizza, Turkey Pepperoni, Slice (Slice)",711
Sweet N' Salty Popcorn (Bag),711
Corn (1/4 cup (cooked)),700
"Sandwich, Turkey & Cheese on Sub Roll (sandwich)",670
Chicken Alfredo Pasta (heaping 1 cup ( #4 scoop)),666
Korean Chicken Drumstick (Drumstick),652
"Peppers, Green, Whole (1/2 cup)",621
"Batter, Pumpkin Bread (1oz Grain (1/64 Baked Pan))",602
"Pasta, Lasagna Roll-Up, Cheese (Each)",600
Strawberry Parfait (Parfait),585
Chicken Eggroll (2 Egg Rolls),577
BBQ Chickenless Bites (4 bites),556
"Waffle (Grain), Belgian, Buttery Maple, Bulk (Waffle)",547
"Parfait, Triple Berry (Parfait)",539
Sweet Thai Chili Chicken Bites (4 Bites w/ 1oz sauce),538
Korean BBQ Chickenless Bites (4 bites),535
"Quesadilla, Chicken & Cheese (Shred Chicken) 6 in Tortilla (Quesadilla)",529
Wheat Thins (Package),524
Mini Maple Pancakes (Package),522
Turkey & Cheese on Sub Roll (sandwich),513
Mac & Cheese (2/3 cup),512
"Pasta, Baked Penne (1 cup)",482
"Chicken, Bites, Korean (4 Bites w/ 1oz sauce)",480
Tortilla Chips (13 chips),472
Nachos w/Shredded Chicken and Cheese Sauce (Serving Size),469
"Cheese Sauce, Frozen, Nacho (1/2 cup)",468
Whole Wheat Sliced Bread (Slice),468
"Bread, Hamburger Bun (Bun)",462
Chilled Pineapple (1/4 cup),451
"CLPP, Grape Tomatoes (1/2 cup)",445
Assorted Whole Fruit (Piece of Fruit),444
Mandarin Orange Parfait (Parfait),425
Ranch Dressing Packet (Packet),411
Soft Beef Taco on Flour Tortilla (Taco),410
"Cheese, Shredded, Mozzarella (1/4 cup)",387
Granola (1/4 cup),363
"Quesadilla, Cheese w/ 6 Inch Tortillas (Quesadilla)",357
Beef Meatballs (Serving),351
Triple Berry Parfait Power Pack (Power Pack),346
"Milk, Soy, Vanilla (24/8 oz) (each)",340
Bagel (Bagel),329
Tex Mex Corn (1/4 cup),327
"Patty, Chicken, Breaded, WG (Serving)",322
"Milk, Soy, Plain, Bulk (12/32 oz) (1 cup)",320
Steamed Baby Carrots (1/4 cup),318
Taco Flavored Hummus (2 Each),317
Orange Slices (9 slices per 3/4 cup),306
"Peppers, Green, Whole (1/4 cup)",304
"Nutri-Grain, Blueberry (each)",295
Tikka Masala Sauce (ounce),282
Broccoli Florets (Cup),280
Cucumber Slices (3/4 cup),277
Natural Grape Jam (Packet),271
Assorted Cereal (Cereal Cup),269
String Cheese (1 Stick),262
"Cheese, Shredded, Cheddar (Cup)",261
Chilled Pineapple (1/2 cup),247
"Carrots, IW,   Super Snack (each)",243
Cherry Vanilla Yogurt (Container),239
Turkey Barbacoa Tacos on Flour Tortillas (2 Tacos),238
"Carrots, Slims Bulk (Sub For Receiving Only) (3 baby carrots per 1/4 cup)",237
"Nutri-Grain, Apple Cinnamon (each)",235
BBQ Sandwich (Sandwich),235
Biscuit (Biscuit),229
Fish Filet Potato Encrusted (each),225
Sweet Thai Chili Chickenless Bites (4 bites),224
BBQ Vegan Burger (Sandwich),214
Steamed Broccoli (1/4 cups),214
Grape Tomatoes (2 Tablespoons),198
Bean Salad (SUMMER) (1 cup),195
"Cucumbers (1/4 cup sliced, 3 slices)",194
"Sauce, Alfredo (2oz Ladle (1/4 cup))",189
Turkey & Cheese & Cracker Power Pack (wrap),189
Red Seedless Grapes (24 grapes per 3/4 cup),184
Mini Maple Waffles (Package),182
Blueberry Parfait (Parfait),176
Turkey Breast Steak (2 Slices),175
"Quesadilla, Cheese and Taco Meat (Quesadilla)",174
"Chicken, Drumstick, Sweet Thai Chili (Drumstick)",169
"Cheese, String, Mozzarella, Low-Fat IW (SUBSTITUTION) (1 Stick)",168
"Chicken, Drumstick, Roasted (Each Drumstick)",168
"Nutri-Grain, Strawberry (each)",166
Peach Yogurt (Container),165
Strawberry Banana Yogurt (each),156
Chicken Parmesan Sandwich (Sandwich),151
Black Bean and Corn Salad (1/2 cup),145
Soft Bean Taco on Flour Tortilla (Taco),138
Powerade Mixed Berry Zero (Each),138
"Pasta, Penne (Prepared) (1/2 cup cooked)",138
"CLPP, Grape Tomatoes (1/4 cup)",137
"Chicken, Shredded, Fully Cooked (1/2 cup)",133
Blueberry Muffin Top (Muffin Top),126
Turkey Barbacoa (#10 scoop),119
Apple Slices (3/4 cup),99
Shredded Chicken Wrap (Wrap),99
"Salsa, Mild Canned (1/4 cup)",95
"Pasta, Penne (Prepared) (cup cooked)",91
"CLPP, Cucumbers (1 cup)",89
Cheese Sandwich (sandwich),80
Chicken & Cheese Nachos (Serving),75
Cheese Pizza (slice),74
"Turkey,  Breast, Pre-Sliced, Oven Roasted (6 Slices)",73
Bean Street Tacos on Flour Tortillas (2 Tacos),65
Chicken & Biscuit Sandwich (Sandwich),63
"Beef, Meatballs, Pre-Cooked (5 meatballs)",61
"IZZE, Apple (each)",61
Egg and American Cheese on Biscuit (Sandwich),58
"Tacos, Taco Meat, Flour Tortilla (2 Tacos)",56
Vanilla Sugar Cookie (Cookie),53
"Chex Mix, Cheddar - do not use (Package)",53
"Wrap, Breaded Chicken (Wrap)",51
"Pasta, Frozen, Penne (Serving Size)",50
Honey Cheerios Cereal (Each),45
"Pasta, Macaroni (1 cup cooked)",45
Chicken Alfredo Pasta (heaping 1/2 cup (#8 scoop)),42
Turkey Sausage Breakfast Biscuit (Sandwich),40
"Canned Pineapple, Tidbits (1/2 cup (drained))",38
Applesauce (3/4 cup),37
"IZZE, Strawberry (each)",36
"IZZE, Blackberry (each)",35
Strawberry Parfait Power Pack w/Egg (Power Pack),35
"Sandwich, Breakfast. Bagel, Turkey Sausage (Sandwich)",32
"Tortilla Chips, Reduced Fat Tostitos, IW (Each)",30
"CLPP, Broccoli Crowns (1/2 cup)",30
Powerade Fruit Punch Zero (Each),24
Carrot and Celery Sticks (1/4 cup),24
"Egg, Hard Boiled, Bulk pouch (Each)",24
Gatorade Zero Glacier Freeze (Each),24
Egg and American Cheese on Bagel (Sandwich),23
Hard Boiled Eggs (Each),21
"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",20
Coke Classic 24/12oz (Each),18
Blueberry Chex Cereal (Each),18
Make Your Own Nachos (Nacho Kit),17
Sprite 24/12oz (Each),12
Cinnamon Chex Cereal (Each),12
Egg and American Cheese on English Muffin (Sandwich),12
Diet Coke 24/12oz (Each),12
Chickenless Bites Wrap (Wrap),12
Vanilla Yogurt (1/2 cup),7
"Chicken, Diced (1/2 cup)",6
Cherry Coke 24/12oz (Each),6
Peach Parfait (Parfait),5
Oat Milk (Each),4
Taco Flavored Hummus (each),4
"Cheese, American, Sliced (3 slices)",2
"Bar, Lemon Blueberry (Each)",2
Tortilla Chips (26 chips),1
Turkey Barbacoa (1/2 Cup),1
